;number_people;date;day_of_week;is_weekend;is_holiday;temperature;is_start_of_semester;is_during_semester;month;hour;period
25;38;2015-08-14 22:00:10-07:00;4;0;0;67,55;0;0;8;22;night
26;41;2015-08-14 22:20:07-07:00;4;0;0;67,55;0;0;8;22;night
27;41;2015-08-14 22:30:08-07:00;4;0;0;67,55;0;0;8;22;night
28;37;2015-08-14 22:40:09-07:00;4;0;0;67,55;0;0;8;22;night
29;33;2015-08-14 22:50:11-07:00;4;0;0;67,55;0;0;8;22;night
30;22;2015-08-14 23:00:11-07:00;4;0;0;67;0;0;8;23;night
31;2;2015-08-14 23:20:06-07:00;4;0;0;67;0;0;8;23;night
32;1;2015-08-14 23:30:07-07:00;4;0;0;67;0;0;8;23;night
33;0;2015-08-14 23:40:08-07:00;4;0;0;67;0;0;8;23;night
34;0;2015-08-14 23:50:09-07:00;4;0;0;67;0;0;8;23;night
35;0;2015-08-15 00:00:10-07:00;5;1;0;66,76;0;0;8;0;night
36;1;2015-08-15 00:20:08-07:00;5;1;0;66,76;0;0;8;0;night
37;0;2015-08-15 00:30:09-07:00;5;1;0;66,76;0;0;8;0;night
38;0;2015-08-15 00:40:10-07:00;5;1;0;66,76;0;0;8;0;night
39;0;2015-08-15 00:50:13-07:00;5;1;0;66,76;0;0;8;0;night
40;0;2015-08-15 01:00:16-07:00;5;1;0;66,32;0;0;8;1;night
41;0;2015-08-15 05:20:11-07:00;5;1;0;65,07;0;0;8;5;night
42;1;2015-08-15 05:30:12-07:00;5;1;0;65,07;0;0;8;5;night
43;0;2015-08-15 05:40:13-07:00;5;1;0;65,07;0;0;8;5;night
44;1;2015-08-15 05:50:15-07:00;5;1;0;65,07;0;0;8;5;night
45;1;2015-08-15 06:00:17-07:00;5;1;0;65,32;0;0;8;6;morning
46;0;2015-08-15 06:20:13-07:00;5;1;0;65,32;0;0;8;6;morning
47;0;2015-08-15 06:30:15-07:00;5;1;0;65,32;0;0;8;6;morning
48;0;2015-08-15 06:40:15-07:00;5;1;0;65,32;0;0;8;6;morning
49;0;2015-08-15 06:50:20-07:00;5;1;0;65,32;0;0;8;6;morning
50;0;2015-08-15 07:00:22-07:00;5;1;0;66,8;0;0;8;7;morning
51;0;2015-08-15 07:20:11-07:00;5;1;0;66,8;0;0;8;7;morning
52;0;2015-08-15 07:30:12-07:00;5;1;0;66,8;0;0;8;7;morning
53;3;2015-08-15 07:40:13-07:00;5;1;0;66,8;0;0;8;7;morning
54;2;2015-08-15 07:50:15-07:00;5;1;0;66,8;0;0;8;7;morning
55;6;2015-08-15 08:00:16-07:00;5;1;0;67,8;0;0;8;8;morning
56;15;2015-08-15 08:20:11-07:00;5;1;0;67,8;0;0;8;8;morning
57;22;2015-08-15 08:30:13-07:00;5;1;0;67,8;0;0;8;8;morning
58;18;2015-08-15 08:40:14-07:00;5;1;0;67,8;0;0;8;8;morning
59;21;2015-08-15 08:50:16-07:00;5;1;0;67,8;0;0;8;8;morning
60;26;2015-08-15 09:00:18-07:00;5;1;0;69,55;0;0;8;9;morning
61;23;2015-08-15 09:20:11-07:00;5;1;0;69,55;0;0;8;9;morning
62;23;2015-08-15 09:30:13-07:00;5;1;0;69,55;0;0;8;9;morning
63;28;2015-08-15 09:40:14-07:00;5;1;0;69,55;0;0;8;9;morning
64;23;2015-08-15 09:50:16-07:00;5;1;0;69,55;0;0;8;9;morning
65;22;2015-08-15 10:00:17-07:00;5;1;0;70,36;0;0;8;10;morning
66;30;2015-08-15 10:20:12-07:00;5;1;0;70,36;0;0;8;10;morning
67;32;2015-08-15 10:30:12-07:00;5;1;0;70,36;0;0;8;10;morning
68;36;2015-08-15 10:40:13-07:00;5;1;0;70,36;0;0;8;10;morning
69;29;2015-08-15 10:50:14-07:00;5;1;0;70,36;0;0;8;10;morning
70;34;2015-08-15 11:00:17-07:00;5;1;0;72,84;0;0;8;11;morning
71;36;2015-08-15 11:20:11-07:00;5;1;0;72,84;0;0;8;11;morning
72;32;2015-08-15 11:30:12-07:00;5;1;0;72,84;0;0;8;11;morning
73;27;2015-08-15 11:40:13-07:00;5;1;0;72,84;0;0;8;11;morning
74;26;2015-08-15 11:50:13-07:00;5;1;0;72,84;0;0;8;11;morning
75;36;2015-08-15 12:00:16-07:00;5;1;0;76,95;0;0;8;12;afternoon
76;37;2015-08-15 12:20:11-07:00;5;1;0;76,95;0;0;8;12;afternoon
77;38;2015-08-15 12:30:12-07:00;5;1;0;76,95;0;0;8;12;afternoon
78;30;2015-08-15 12:40:15-07:00;5;1;0;76,95;0;0;8;12;afternoon
79;34;2015-08-15 12:50:17-07:00;5;1;0;76,95;0;0;8;12;afternoon
80;26;2015-08-15 13:00:20-07:00;5;1;0;80,16;0;0;8;13;afternoon
81;33;2015-08-15 13:20:11-07:00;5;1;0;80,16;0;0;8;13;afternoon
82;31;2015-08-15 13:30:16-07:00;5;1;0;80,16;0;0;8;13;afternoon
83;26;2015-08-15 13:40:17-07:00;5;1;0;80,16;0;0;8;13;afternoon
84;26;2015-08-15 13:50:18-07:00;5;1;0;80,16;0;0;8;13;afternoon
85;26;2015-08-15 14:00:19-07:00;5;1;0;79,98;0;0;8;14;afternoon
86;23;2015-08-15 14:20:12-07:00;5;1;0;79,98;0;0;8;14;afternoon
87;29;2015-08-15 14:30:13-07:00;5;1;0;79,98;0;0;8;14;afternoon
88;27;2015-08-15 14:40:16-07:00;5;1;0;79,98;0;0;8;14;afternoon
89;29;2015-08-15 14:50:18-07:00;5;1;0;79,98;0;0;8;14;afternoon
90;25;2015-08-15 15:00:23-07:00;5;1;0;78,79;0;0;8;15;afternoon
91;29;2015-08-15 15:20:11-07:00;5;1;0;78,79;0;0;8;15;afternoon
92;35;2015-08-15 15:30:12-07:00;5;1;0;78,79;0;0;8;15;afternoon
93;32;2015-08-15 15:40:13-07:00;5;1;0;78,79;0;0;8;15;afternoon
94;36;2015-08-15 15:50:14-07:00;5;1;0;78,79;0;0;8;15;afternoon
95;31;2015-08-15 16:00:15-07:00;5;1;0;78,51;0;0;8;16;evening
96;24;2015-08-15 16:20:11-07:00;5;1;0;78,51;0;0;8;16;evening
97;26;2015-08-15 16:30:12-07:00;5;1;0;78,51;0;0;8;16;evening
98;28;2015-08-15 16:40:12-07:00;5;1;0;78,51;0;0;8;16;evening
99;33;2015-08-15 16:50:13-07:00;5;1;0;78,51;0;0;8;16;evening
100;26;2015-08-15 17:00:15-07:00;5;1;0;77,32;0;0;8;17;evening
101;31;2015-08-15 17:20:10-07:00;5;1;0;77,32;0;0;8;17;evening
102;39;2015-08-15 17:30:11-07:00;5;1;0;77,32;0;0;8;17;evening
103;43;2015-08-15 17:40:12-07:00;5;1;0;77,32;0;0;8;17;evening
104;40;2015-08-15 17:50:13-07:00;5;1;0;77,32;0;0;8;17;evening
105;36;2015-08-15 18:00:14-07:00;5;1;0;75,62;0;0;8;18;evening
106;43;2015-08-15 18:20:11-07:00;5;1;0;75,62;0;0;8;18;evening
107;38;2015-08-15 18:30:12-07:00;5;1;0;75,62;0;0;8;18;evening
108;32;2015-08-15 18:40:14-07:00;5;1;0;75,62;0;0;8;18;evening
109;29;2015-08-15 18:50:15-07:00;5;1;0;75,62;0;0;8;18;evening
110;31;2015-08-15 19:00:16-07:00;5;1;0;73,61;0;0;8;19;evening
111;27;2015-08-15 19:20:10-07:00;5;1;0;73,61;0;0;8;19;evening
112;23;2015-08-15 19:30:11-07:00;5;1;0;73,61;0;0;8;19;evening
113;29;2015-08-15 19:40:12-07:00;5;1;0;73,61;0;0;8;19;evening
114;28;2015-08-15 19:50:12-07:00;5;1;0;73,61;0;0;8;19;evening
115;29;2015-08-15 20:00:13-07:00;5;1;0;71,49;0;0;8;20;night
116;29;2015-08-15 20:20:11-07:00;5;1;0;71,49;0;0;8;20;night
117;31;2015-08-15 20:30:12-07:00;5;1;0;71,49;0;0;8;20;night
118;28;2015-08-15 20:40:12-07:00;5;1;0;71,49;0;0;8;20;night
119;33;2015-08-15 20:50:13-07:00;5;1;0;71,49;0;0;8;20;night
120;26;2015-08-15 21:00:14-07:00;5;1;0;69,48;0;0;8;21;night
121;25;2015-08-15 21:20:10-07:00;5;1;0;69,48;0;0;8;21;night
122;29;2015-08-15 21:30:11-07:00;5;1;0;69,48;0;0;8;21;night
123;22;2015-08-15 21:40:12-07:00;5;1;0;69,48;0;0;8;21;night
124;24;2015-08-15 21:50:13-07:00;5;1;0;69,48;0;0;8;21;night
125;26;2015-08-15 22:00:13-07:00;5;1;0;67,75;0;0;8;22;night
126;22;2015-08-15 22:20:11-07:00;5;1;0;67,75;0;0;8;22;night
127;25;2015-08-15 22:30:11-07:00;5;1;0;67,75;0;0;8;22;night
128;26;2015-08-15 22:40:12-07:00;5;1;0;67,75;0;0;8;22;night
129;12;2015-08-15 22:50:13-07:00;5;1;0;67,75;0;0;8;22;night
130;17;2015-08-15 23:00:14-07:00;5;1;0;66,53;0;0;8;23;night
131;4;2015-08-15 23:20:10-07:00;5;1;0;66,53;0;0;8;23;night
132;2;2015-08-15 23:30:11-07:00;5;1;0;66,53;0;0;8;23;night
133;0;2015-08-15 23:40:12-07:00;5;1;0;66,53;0;0;8;23;night
134;0;2015-08-15 23:50:12-07:00;5;1;0;66,53;0;0;8;23;night
135;0;2015-08-16 00:00:13-07:00;6;1;0;65,77;0;0;8;0;night
136;0;2015-08-16 00:20:10-07:00;6;1;0;65,77;0;0;8;0;night
137;0;2015-08-16 00:30:11-07:00;6;1;0;65,77;0;0;8;0;night
138;0;2015-08-16 00:40:12-07:00;6;1;0;65,77;0;0;8;0;night
139;0;2015-08-16 00:50:13-07:00;6;1;0;65,77;0;0;8;0;night
140;0;2015-08-16 01:00:13-07:00;6;1;0;65,69;0;0;8;1;night
141;0;2015-08-16 05:20:11-07:00;6;1;0;64,72;0;0;8;5;night
142;0;2015-08-16 05:30:11-07:00;6;1;0;64,72;0;0;8;5;night
143;0;2015-08-16 05:40:12-07:00;6;1;0;64,72;0;0;8;5;night
144;0;2015-08-16 05:50:13-07:00;6;1;0;64,72;0;0;8;5;night
145;0;2015-08-16 06:00:13-07:00;6;1;0;65,2;0;0;8;6;morning
146;0;2015-08-16 06:20:11-07:00;6;1;0;65,2;0;0;8;6;morning
147;0;2015-08-16 06:30:11-07:00;6;1;0;65,2;0;0;8;6;morning
148;0;2015-08-16 06:40:12-07:00;6;1;0;65,2;0;0;8;6;morning
149;0;2015-08-16 06:50:13-07:00;6;1;0;65,2;0;0;8;6;morning
150;1;2015-08-16 07:00:14-07:00;6;1;0;66,91;0;0;8;7;morning
151;0;2015-08-16 07:20:10-07:00;6;1;0;66,91;0;0;8;7;morning
152;0;2015-08-16 07:30:11-07:00;6;1;0;66,91;0;0;8;7;morning
153;2;2015-08-16 07:40:12-07:00;6;1;0;66,91;0;0;8;7;morning
154;2;2015-08-16 07:50:13-07:00;6;1;0;66,91;0;0;8;7;morning
155;3;2015-08-16 08:00:13-07:00;6;1;0;69,39;0;0;8;8;morning
156;12;2015-08-16 08:20:10-07:00;6;1;0;69,39;0;0;8;8;morning
157;18;2015-08-16 08:30:11-07:00;6;1;0;69,39;0;0;8;8;morning
158;11;2015-08-16 08:40:12-07:00;6;1;0;69,39;0;0;8;8;morning
159;16;2015-08-16 08:50:13-07:00;6;1;0;69,39;0;0;8;8;morning
160;15;2015-08-16 09:00:13-07:00;6;1;0;72,14;0;0;8;9;morning
161;18;2015-08-16 09:20:11-07:00;6;1;0;72,14;0;0;8;9;morning
162;17;2015-08-16 09:30:11-07:00;6;1;0;72,14;0;0;8;9;morning
163;12;2015-08-16 09:40:12-07:00;6;1;0;72,14;0;0;8;9;morning
164;22;2015-08-16 09:50:13-07:00;6;1;0;72,14;0;0;8;9;morning
165;23;2015-08-16 10:00:14-07:00;6;1;0;74,51;0;0;8;10;morning
166;27;2015-08-16 10:20:10-07:00;6;1;0;74,51;0;0;8;10;morning
167;25;2015-08-16 10:30:11-07:00;6;1;0;74,51;0;0;8;10;morning
168;20;2015-08-16 10:40:12-07:00;6;1;0;74,51;0;0;8;10;morning
169;25;2015-08-16 10:50:13-07:00;6;1;0;74,51;0;0;8;10;morning
170;19;2015-08-16 11:00:13-07:00;6;1;0;77,42;0;0;8;11;morning
171;18;2015-08-16 11:20:10-07:00;6;1;0;77,42;0;0;8;11;morning
172;25;2015-08-16 11:30:11-07:00;6;1;0;77,42;0;0;8;11;morning
173;29;2015-08-16 11:40:12-07:00;6;1;0;77,42;0;0;8;11;morning
174;24;2015-08-16 11:50:13-07:00;6;1;0;77,42;0;0;8;11;morning
175;29;2015-08-16 12:00:13-07:00;6;1;0;78,94;0;0;8;12;afternoon
176;22;2015-08-16 12:20:10-07:00;6;1;0;78,94;0;0;8;12;afternoon
177;20;2015-08-16 12:30:11-07:00;6;1;0;78,94;0;0;8;12;afternoon
178;34;2015-08-16 12:40:12-07:00;6;1;0;78,94;0;0;8;12;afternoon
179;19;2015-08-16 12:50:12-07:00;6;1;0;78,94;0;0;8;12;afternoon
180;16;2015-08-16 13:00:13-07:00;6;1;0;79,2;0;0;8;13;afternoon
181;27;2015-08-16 13:20:10-07:00;6;1;0;79,2;0;0;8;13;afternoon
182;28;2015-08-16 13:30:11-07:00;6;1;0;79,2;0;0;8;13;afternoon
183;24;2015-08-16 13:40:12-07:00;6;1;0;79,2;0;0;8;13;afternoon
184;26;2015-08-16 13:50:12-07:00;6;1;0;79,2;0;0;8;13;afternoon
185;16;2015-08-16 14:00:13-07:00;6;1;0;81,17;0;0;8;14;afternoon
186;20;2015-08-16 14:20:10-07:00;6;1;0;81,17;0;0;8;14;afternoon
187;21;2015-08-16 14:30:11-07:00;6;1;0;81,17;0;0;8;14;afternoon
188;20;2015-08-16 14:40:12-07:00;6;1;0;81,17;0;0;8;14;afternoon
189;22;2015-08-16 14:50:13-07:00;6;1;0;81,17;0;0;8;14;afternoon
190;19;2015-08-16 15:00:13-07:00;6;1;0;80,61;0;0;8;15;afternoon
191;27;2015-08-16 15:20:10-07:00;6;1;0;80,61;0;0;8;15;afternoon
192;31;2015-08-16 15:30:11-07:00;6;1;0;80,61;0;0;8;15;afternoon
193;32;2015-08-16 15:40:12-07:00;6;1;0;80,61;0;0;8;15;afternoon
194;27;2015-08-16 15:50:12-07:00;6;1;0;80,61;0;0;8;15;afternoon
195;27;2015-08-16 16:00:13-07:00;6;1;0;79,85;0;0;8;16;evening
196;24;2015-08-16 16:20:10-07:00;6;1;0;79,85;0;0;8;16;evening
197;29;2015-08-16 16:30:11-07:00;6;1;0;79,85;0;0;8;16;evening
198;25;2015-08-16 16:40:12-07:00;6;1;0;79,85;0;0;8;16;evening
199;30;2015-08-16 16:50:13-07:00;6;1;0;79,85;0;0;8;16;evening
200;31;2015-08-16 17:00:13-07:00;6;1;0;78,79;0;0;8;17;evening
201;40;2015-08-16 17:20:10-07:00;6;1;0;78,79;0;0;8;17;evening
202;30;2015-08-16 17:30:10-07:00;6;1;0;78,79;0;0;8;17;evening
203;35;2015-08-16 17:40:11-07:00;6;1;0;78,79;0;0;8;17;evening
204;34;2015-08-16 17:50:13-07:00;6;1;0;78,79;0;0;8;17;evening
205;31;2015-08-16 18:00:13-07:00;6;1;0;76,75;0;0;8;18;evening
206;34;2015-08-16 18:20:09-07:00;6;1;0;76,75;0;0;8;18;evening
207;36;2015-08-16 18:30:09-07:00;6;1;0;76,75;0;0;8;18;evening
208;27;2015-08-16 18:40:10-07:00;6;1;0;76,75;0;0;8;18;evening
209;33;2015-08-16 18:50:11-07:00;6;1;0;76,75;0;0;8;18;evening
210;38;2015-08-16 19:00:12-07:00;6;1;0;74,36;0;0;8;19;evening
211;41;2015-08-16 19:20:08-07:00;6;1;0;74,36;0;0;8;19;evening
212;39;2015-08-16 19:30:09-07:00;6;1;0;74,36;0;0;8;19;evening
213;39;2015-08-16 19:40:10-07:00;6;1;0;74,36;0;0;8;19;evening
214;41;2015-08-16 19:50:10-07:00;6;1;0;74,36;0;0;8;19;evening
215;28;2015-08-16 20:00:11-07:00;6;1;0;71,6;0;0;8;20;night
216;38;2015-08-16 20:20:08-07:00;6;1;0;71,6;0;0;8;20;night
217;38;2015-08-16 20:30:09-07:00;6;1;0;71,6;0;0;8;20;night
218;39;2015-08-16 20:40:10-07:00;6;1;0;71,6;0;0;8;20;night
219;25;2015-08-16 20:50:11-07:00;6;1;0;71,6;0;0;8;20;night
220;32;2015-08-16 21:00:11-07:00;6;1;0;70,65;0;0;8;21;night
221;32;2015-08-16 21:20:08-07:00;6;1;0;70,65;0;0;8;21;night
222;26;2015-08-16 21:30:09-07:00;6;1;0;70,65;0;0;8;21;night
223;31;2015-08-16 21:40:09-07:00;6;1;0;70,65;0;0;8;21;night
224;26;2015-08-16 21:50:10-07:00;6;1;0;70,65;0;0;8;21;night
225;38;2015-08-16 22:00:11-07:00;6;1;0;68,85;0;0;8;22;night
226;34;2015-08-16 22:20:08-07:00;6;1;0;68,85;0;0;8;22;night
227;35;2015-08-16 22:30:09-07:00;6;1;0;68,85;0;0;8;22;night
228;24;2015-08-16 22:40:10-07:00;6;1;0;68,85;0;0;8;22;night
229;31;2015-08-16 22:50:11-07:00;6;1;0;68,85;0;0;8;22;night
230;22;2015-08-16 23:00:11-07:00;6;1;0;67,93;0;0;8;23;night
231;21;2015-08-16 23:20:08-07:00;6;1;0;67,93;0;0;8;23;night
232;17;2015-08-16 23:30:08-07:00;6;1;0;67,93;0;0;8;23;night
233;19;2015-08-16 23:40:10-07:00;6;1;0;67,93;0;0;8;23;night
234;22;2015-08-16 23:50:10-07:00;6;1;0;67,93;0;0;8;23;night
235;17;2015-08-17 00:00:11-07:00;0;0;0;65,76;0;0;8;0;night
236;17;2015-08-17 00:20:09-07:00;0;0;0;65,76;0;0;8;0;night
237;14;2015-08-17 00:30:09-07:00;0;0;0;65,76;0;0;8;0;night
238;9;2015-08-17 00:40:10-07:00;0;0;0;65,76;0;0;8;0;night
239;11;2015-08-17 00:50:11-07:00;0;0;0;65,76;0;0;8;0;night
240;6;2015-08-17 01:00:11-07:00;0;0;0;64,97;0;0;8;1;night
241;3;2015-08-17 05:20:08-07:00;0;0;0;63,73;0;0;8;5;night
242;1;2015-08-17 05:30:09-07:00;0;0;0;63,73;0;0;8;5;night
243;4;2015-08-17 05:40:10-07:00;0;0;0;63,73;0;0;8;5;night
244;0;2015-08-17 05:50:11-07:00;0;0;0;63,73;0;0;8;5;night
245;9;2015-08-17 06:00:12-07:00;0;0;0;63,42;0;0;8;6;morning
246;9;2015-08-17 06:20:08-07:00;0;0;0;63,42;0;0;8;6;morning
247;16;2015-08-17 06:30:09-07:00;0;0;0;63,42;0;0;8;6;morning
248;18;2015-08-17 06:40:10-07:00;0;0;0;63,42;0;0;8;6;morning
249;13;2015-08-17 06:50:11-07:00;0;0;0;63,42;0;0;8;6;morning
250;23;2015-08-17 07:00:12-07:00;0;0;0;64,69;0;0;8;7;morning
251;26;2015-08-17 07:20:08-07:00;0;0;0;64,69;0;0;8;7;morning
252;23;2015-08-17 07:30:09-07:00;0;0;0;64,69;0;0;8;7;morning
253;17;2015-08-17 07:40:10-07:00;0;0;0;64,69;0;0;8;7;morning
254;27;2015-08-17 07:50:11-07:00;0;0;0;64,69;0;0;8;7;morning
255;23;2015-08-17 08:00:11-07:00;0;0;0;65,53;0;0;8;8;morning
256;38;2015-08-17 08:20:08-07:00;0;0;0;65,53;0;0;8;8;morning
257;24;2015-08-17 08:30:09-07:00;0;0;0;65,53;0;0;8;8;morning
258;23;2015-08-17 08:40:10-07:00;0;0;0;65,53;0;0;8;8;morning
259;32;2015-08-17 08:50:11-07:00;0;0;0;65,53;0;0;8;8;morning
260;31;2015-08-17 09:00:12-07:00;0;0;0;66,71;0;0;8;9;morning
261;31;2015-08-17 09:20:09-07:00;0;0;0;66,71;0;0;8;9;morning
262;32;2015-08-17 09:30:10-07:00;0;0;0;66,71;0;0;8;9;morning
263;34;2015-08-17 09:40:10-07:00;0;0;0;66,71;0;0;8;9;morning
264;39;2015-08-17 09:50:11-07:00;0;0;0;66,71;0;0;8;9;morning
265;39;2015-08-17 10:00:12-07:00;0;0;0;67,83;0;0;8;10;morning
266;33;2015-08-17 10:20:09-07:00;0;0;0;67,83;0;0;8;10;morning
267;33;2015-08-17 10:30:10-07:00;0;0;0;67,83;0;0;8;10;morning
268;37;2015-08-17 10:40:11-07:00;0;0;0;67,83;0;0;8;10;morning
269;29;2015-08-17 10:50:12-07:00;0;0;0;67,83;0;0;8;10;morning
270;32;2015-08-17 11:00:12-07:00;0;0;0;67,81;0;0;8;11;morning
271;35;2015-08-17 11:20:10-07:00;0;0;0;67,81;0;0;8;11;morning
272;26;2015-08-17 11:30:10-07:00;0;0;0;67,81;0;0;8;11;morning
273;34;2015-08-17 11:40:11-07:00;0;0;0;67,81;0;0;8;11;morning
274;29;2015-08-17 11:50:12-07:00;0;0;0;67,81;0;0;8;11;morning
275;28;2015-08-17 12:00:13-07:00;0;0;0;68,76;0;0;8;12;afternoon
276;32;2015-08-17 12:20:09-07:00;0;0;0;68,76;0;0;8;12;afternoon
277;27;2015-08-17 12:30:10-07:00;0;0;0;68,76;0;0;8;12;afternoon
278;26;2015-08-17 12:40:11-07:00;0;0;0;68,76;0;0;8;12;afternoon
279;27;2015-08-17 12:50:12-07:00;0;0;0;68,76;0;0;8;12;afternoon
280;31;2015-08-17 13:00:13-07:00;0;0;0;70,75;0;0;8;13;afternoon
281;33;2015-08-17 13:20:09-07:00;0;0;0;70,75;0;0;8;13;afternoon
282;31;2015-08-17 13:30:10-07:00;0;0;0;70,75;0;0;8;13;afternoon
283;30;2015-08-17 13:40:11-07:00;0;0;0;70,75;0;0;8;13;afternoon
284;28;2015-08-17 13:50:12-07:00;0;0;0;70,75;0;0;8;13;afternoon
285;27;2015-08-17 14:00:13-07:00;0;0;0;70,18;0;0;8;14;afternoon
286;30;2015-08-17 14:20:09-07:00;0;0;0;70,18;0;0;8;14;afternoon
287;18;2015-08-17 14:30:10-07:00;0;0;0;70,18;0;0;8;14;afternoon
288;27;2015-08-17 14:40:10-07:00;0;0;0;70,18;0;0;8;14;afternoon
289;37;2015-08-17 14:50:11-07:00;0;0;0;70,18;0;0;8;14;afternoon
290;33;2015-08-17 15:00:12-07:00;0;0;0;69,65;0;0;8;15;afternoon
291;33;2015-08-17 15:20:08-07:00;0;0;0;69,65;0;0;8;15;afternoon
292;44;2015-08-17 15:30:09-07:00;0;0;0;69,65;0;0;8;15;afternoon
293;43;2015-08-17 15:40:10-07:00;0;0;0;69,65;0;0;8;15;afternoon
294;48;2015-08-17 15:50:11-07:00;0;0;0;69,65;0;0;8;15;afternoon
295;45;2015-08-17 16:00:12-07:00;0;0;0;67,99;0;0;8;16;evening
296;50;2015-08-17 16:20:08-07:00;0;0;0;67,99;0;0;8;16;evening
297;42;2015-08-17 16:30:09-07:00;0;0;0;67,99;0;0;8;16;evening
298;45;2015-08-17 16:40:09-07:00;0;0;0;67,99;0;0;8;16;evening
299;47;2015-08-17 16:50:10-07:00;0;0;0;67,99;0;0;8;16;evening
300;47;2015-08-17 17:00:10-07:00;0;0;0;67,04;0;0;8;17;evening
301;55;2015-08-17 17:20:09-07:00;0;0;0;67,04;0;0;8;17;evening
302;68;2015-08-17 17:30:10-07:00;0;0;0;67,04;0;0;8;17;evening
303;50;2015-08-17 17:40:10-07:00;0;0;0;67,04;0;0;8;17;evening
304;58;2015-08-17 17:50:11-07:00;0;0;0;67,04;0;0;8;17;evening
305;65;2015-08-17 18:00:12-07:00;0;0;0;64,26;0;0;8;18;evening
306;63;2015-08-17 18:20:09-07:00;0;0;0;64,26;0;0;8;18;evening
307;63;2015-08-17 18:30:09-07:00;0;0;0;64,26;0;0;8;18;evening
308;74;2015-08-17 18:40:10-07:00;0;0;0;64,26;0;0;8;18;evening
309;69;2015-08-17 18:50:11-07:00;0;0;0;64,26;0;0;8;18;evening
310;69;2015-08-17 19:00:11-07:00;0;0;0;63,04;0;0;8;19;evening
311;60;2015-08-17 19:20:09-07:00;0;0;0;63,04;0;0;8;19;evening
312;68;2015-08-17 19:30:10-07:00;0;0;0;63,04;0;0;8;19;evening
313;73;2015-08-17 19:40:11-07:00;0;0;0;63,04;0;0;8;19;evening
314;50;2015-08-17 19:50:12-07:00;0;0;0;63,04;0;0;8;19;evening
315;53;2015-08-17 20:00:12-07:00;0;0;0;62;0;0;8;20;night
316;50;2015-08-17 20:20:09-07:00;0;0;0;62;0;0;8;20;night
317;45;2015-08-17 20:30:09-07:00;0;0;0;62;0;0;8;20;night
318;52;2015-08-17 20:40:10-07:00;0;0;0;62;0;0;8;20;night
319;66;2015-08-17 20:50:10-07:00;0;0;0;62;0;0;8;20;night
320;64;2015-08-17 21:00:11-07:00;0;0;0;62;0;0;8;21;night
321;60;2015-08-17 21:20:09-07:00;0;0;0;62;0;0;8;21;night
322;44;2015-08-17 21:30:09-07:00;0;0;0;62;0;0;8;21;night
323;50;2015-08-17 21:40:10-07:00;0;0;0;62;0;0;8;21;night
324;46;2015-08-17 21:50:11-07:00;0;0;0;62;0;0;8;21;night
325;39;2015-08-17 22:00:12-07:00;0;0;0;62;0;0;8;22;night
326;42;2015-08-17 22:20:09-07:00;0;0;0;62;0;0;8;22;night
327;49;2015-08-17 22:30:09-07:00;0;0;0;62;0;0;8;22;night
328;34;2015-08-17 22:40:10-07:00;0;0;0;62;0;0;8;22;night
329;32;2015-08-17 22:50:11-07:00;0;0;0;62;0;0;8;22;night
330;35;2015-08-17 23:00:12-07:00;0;0;0;62;0;0;8;23;night
